question,language_code,answer
Frage: Welche Bauprodukte müssen nicht auf ihre Brandverhaltensklasse geprüft werden und welche Klassen gelten für Holzfußböden sowie Wand- und Deckenbekleidungen aus Massivholz?,de,"

Antwort: Eine Prüfung ist für Produkte, die die Anforderungen des Merkmals ""Brandverhalten"" erfüllen, nicht erforderlich. Für Holzfußböden sowie Wand- und Deckenbekleidungen aus Massivholz gelten die in der Entscheidung 2000/147/EG festgelegten Brandverhaltensklassen."
Frage: Welche Verordnung legt die pauschalen Einfuhrwerte für Obst und Gemüse fest und wann ist sie in Kraft getreten?,de,"

Antwort: Die Verordnung (EG) Nr. 1330/2003 der Kommission legt die pauschalen Einfuhrwerte für Obst und Gemüse fest. Sie ist am 26. Juli 2003 in Kraft getreten."
Frage: Welche Menge an künstlich getrocknetem und sonnengetrocknetem Futter darf für die Zahlung der Beihilfe gemäß Artikel 4 Absatz 2 in Betracht kommen?,de,"

Antwort: Für die Zahlung der Beihilfe darf eine Menge von maximal 4.855.900 Tonnen in Anspruch genommen werden."
Frage: Was ist die Rechtsgrundlage für die Änderung der Verordnung zur Beihilfe an Hopfenerzeuger und wer muss die durchgeführten Maßnahmen melden?,de,"

Antwort: Die Rechtsgrundlage bildet der Vertrag zur Gründung der Europäischen Wirtschaftsgemeinschaft. Die Mitgliedstaaten müssen der Kommission die durchgeführten Maßnahmen zur Umsetzung der Beihilferegelung für Hopfenerzeuger melden."
"Frage: Welche Dumpingspanne wurde für Waren mit Ursprung in Singapur, die von Unternehmen hergestellt wurden, die nicht an der Untersuchung mitgearbeitet haben, festgelegt?",de,"

Antwort: Für Unternehmen, die nicht an der Untersuchung mitgearbeitet haben, wurde eine Dumpingspanne von 31 % festgelegt."
Frage: Welcher Betrag wurde als Höchstgrenze für die Erstattung bei der Ausfuhr von Weißzucker im Rahmen der 28. Teilausschreibung gemäß der Verordnung (EG) Nr. 1290/2003 festgelegt?,de,"

Antwort: 49,950 EUR pro 100 kg."
Can Austria finance the clean-up of the Kiener dump in Bachmanning without violating EU competition law?,de,"

No. Any state financing of the clean-up would give an unfair advantage to the current owner of the site, Atlas, as it would relieve the company of the cost of the clean-up. As Atlas is not considered to be in financial difficulty, this state aid would distort competition in the internal market without any of the exceptions in Article 92 of the Treaty on the Functioning of the European Union applying. However, if Atlas were to reimburse the full cost of the clean-up, then state financing would not constitute aid and could go ahead."
Frage: Wird das Protokoll über die finanzielle und technische Zusammenarbeit zwischen der Europäischen Wirtschaftsgemeinschaft und der Arabischen Republik Ägypten vom Rat der Europäischen Gemeinschaften genehmigt?,de,"

Antwort: Ja. Dies wird in Artikel 1 des Beschlusses bestätigt."
"Frage: Welche Verordnung wurde am 12. Juni 2003 von der Kommission der Europäischen Gemeinschaften erlassen, um bestimmte restriktive Maßnahmen gegen Personen und Organisationen zu erlassen, die mit Osama bin Laden und dem Al-Qaida-Netzwerk in Verbindung stehen, und wann ist sie in Kraft getreten?",de,"

Antwort: Verordnung (EG) Nr. 1012/2003 der Kommission vom 12. Juni 2003. Sie ist am Tag nach ihrer Veröffentlichung im Amtsblatt der Europäischen Union, also am 13. Juni 2003, in Kraft getreten."
"Frage: Welche Verordnung wurde am 29. Juni 1993 von der Kommission der Europäischen Gemeinschaften erlassen, um die Verordnung (EWG) Nr. 3824/92 zu ändern und welche beiden neuen Beihilfen wurden aufgenommen?",de,"

Antwort: Die Verordnung (EWG) Nr. 1663/93 ändert die Verordnung (EWG) Nr. 3824/92 und fügt zwei neue Beihilfen hinzu: Eine Beihilfe für die Erzeugung bestimmter Reissorten und eine Beihilfe für die Erzeugung von Rohreis in Portugal."
Werden die endgültigen Antidumpingzölle für Silicium mit Ursprung in Russland höher ausfallen als die vorläufigen Zölle?,de,
